City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Codrington,-38.2667,141.9667,57.72,53,54,12.62,AU,2022-02-01 21:17:41
133,Gushikawa,26.3544,127.8686,62.6,89,100,8.05,JP,2022-02-01 21:17:42
134,San Policarpo,12.1791,125.5072,78.21,84,99,10.94,PH,2022-02-01 21:18:42
135,New Waterford,40.8451,-80.6145,51.98,97,60,8.75,US,2022-02-01 21:18:43
136,Svetlogorsk,52.6333,29.7333,22.39,94,100,8.63,BY,2022-02-01 21:18:44
137,Zhigansk,66.7697,123.3711,-28.26,99,88,9.17,RU,2022-02-01 21:18:44
138,Pathein,16.7833,94.7333,61.77,69,9,5.03,MM,2022-02-01 21:18:45
139,Chuy,-33.6971,-53.4616,71.35,51,0,9.57,UY,2022-02-01 21:18:45
140,East London,-33.0153,27.9116,75.81,87,100,6.08,ZA,2022-02-01 21:18:46
141,Madurai,9.9333,78.1167,75.22,94,2,3.44,IN,2022-02-01 21:18:46
142,Tura,25.5198,90.2201,51.93,78,2,4.16,IN,2022-02-01 21:18:47
143,Hilo,19.7297,-155.09,78.53,70,20,5.75,US,2022-02-01 21:18:47
144,Caravelas,-17.7125,-39.2481,80.01,82,63,8.16,BR,2022-02-01 21:18:48
145,Karatau,43.1667,70.4667,26.56,84,6,1.66,KZ,2022-02-01 21:18:48
146,Dakar,14.6937,-17.4441,77.88,78,34,6.91,SN,2022-02-01 21:18:15
147,Dikson,73.5069,80.5464,3.94,93,100,18.3,RU,2022-02-01 21:18:49
148,Kapaa,22.0752,-159.319,78.12,68,40,3.0,US,2022-02-01 21:18:49
149,Kailua,21.4022,-157.7394,80.58,66,40,10.36,US,2022-02-01 21:14:10
150,Byron Bay,-28.65,153.6167,83.05,86,100,3.74,AU,2022-02-01 21:18:50
151,Norman Wells,65.282,-126.8329,-12.96,77,40,2.3,CA,2022-02-01 21:18:50
152,Vila Velha,-20.3297,-40.2925,82.94,82,20,10.36,BR,2022-02-01 21:14:02
153,Port Blair,11.6667,92.75,74.66,73,19,3.71,IN,2022-02-01 21:18:51
154,Mount Isa,-20.7333,139.5,80.37,89,40,8.05,AU,2022-02-01 21:18:52
155,Zeya,53.75,127.2667,-7.94,87,28,5.01,RU,2022-02-01 21:18:52
156,Ixtapa,20.7,-105.2,78.03,53,0,11.5,MX,2022-02-01 21:18:53
157,Wuwei,37.9281,102.6414,19.22,41,78,2.82,CN,2022-02-01 21:18:53
158,College,64.8569,-147.8028,-0.74,74,20,0.0,US,2022-02-01 21:15:27
159,Laizhou,37.1717,119.9214,24.8,57,100,4.21,CN,2022-02-01 21:18:54
160,Susurluk,39.9136,28.1578,51.58,81,100,8.12,TR,2022-02-01 21:18:55
161,Warwick,41.7001,-71.4162,36.72,71,100,8.05,US,2022-02-01 21:18:32
162,San Quintin,30.4833,-115.95,61.56,65,58,12.03,MX,2022-02-01 21:18:55
163,Paracuru,-3.41,-39.0306,82.42,76,92,12.82,BR,2022-02-01 21:18:33
164,Natal,-5.795,-35.2094,83.05,78,20,10.36,BR,2022-02-01 21:15:12
165,Bathsheba,13.2167,-59.5167,81.21,69,40,16.11,BB,2022-02-01 21:18:56
166,Zavodoukovsk,56.5042,66.5515,12.18,93,52,9.17,RU,2022-02-01 21:18:57
167,Georgetown,5.4112,100.3354,82.33,86,20,1.01,MY,2022-02-01 21:18:57
168,Northport,33.229,-87.5772,66.25,46,100,1.99,US,2022-02-01 21:18:58
169,Tricase,39.9304,18.3553,47.55,64,100,29.51,IT,2022-02-01 21:18:58
170,Qaanaaq,77.484,-69.3632,-18.27,73,100,11.88,GL,2022-02-01 21:17:49
171,Dingle,10.9995,122.6711,73.27,94,81,7.67,PH,2022-02-01 21:18:59
172,Aksarka,66.5606,67.7975,-19.12,100,88,6.26,RU,2022-02-01 21:18:59
173,Bam,29.106,58.357,57.76,47,0,17.16,IR,2022-02-01 21:19:00
